title,interviewee,interviewer,date,datenice,dates,affiliation (role),affiliation (department),description,biography,subject (lcsh),subjects (lctgm),subject,location,object type,notes,language,language code,digital collection,digital id number,ordering information,citation information,repository,repository collection,rights uri,restrictions,type,staff notes,cataloging,extent,format,original format,file name,digital reproduction information,oclc number,date created,date modified,reference url,compound,cdmid,contentdm file name,contentdm file path,objectid
"Claudia Gorbman, photograph",,,,,,,,,,,,,,Oral histories,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201803-Image,,,,,,,StillImage,,,,image/jpg,image/jpg,,,,7/24/2018,7/24/2018,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/0,,0,1.jp2,/p16786coll18/image/1.jp2,foundingstories0
"Claudia Gorbman, audio",,,,,,,,,,,,,,Oral histories,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201803-Audio,,,,,,,Sound,,,0:49:42,audio/mp3,audio/wav,,Converted from digital 24bit/96kHz wav fiiles to 16bit/24kHz mp3 fiiles in 2018.,,7/24/2018,7/24/2018,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/1,,1,2.mp3,/p16786coll18/image/2.mp3,foundingstories1
"Claudia Gorbman, transcript",,,,,,,,,,,,,,Oral histories,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201803-Transcript,,,,,,,Text,,,11 pages,application/pdf,text/docs,,,,7/24/2018,7/24/2018,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/2,,2,3.pdf,/p16786coll18/image/3.pdf,foundingstories2
Claudia Gorbman interview,"Gorbman, Claudia","Williams, Charles Thomas",4/5/2018,5-Apr-18,2018,Faculty,Liberal Studies; School of Interdisciplinary Arts and Science,"In this interview, Claudia Gorbman reflects on the transformations at University of Washington Tacoma since its establishment, comparing the earlier, more idealistic years focused on interdisciplinary education to the more recent growth in size and bureaucratic procedures. She describes the adventurous spirit of a new frontier that marked the beginning years.      The session begins with her explaining her professional trajectory and the difficult decision to choose UW Tacoma over the tenured position she had held at Indiana University Bloomington for 15 years. On the subject of gender imbalance among the founding faculty, Gorbman remarks on the respectful treatment she has received from her peers and the force of her only female colleague on the faculty, Judy Stevens-Long. Speaking about her own scholarship, Gorbman regrets taking an &quot;elitist&quot; approach, stating that her views have shifted toward the end of her tenure at UW Tacoma--from focusing on global recognition to becoming more community-oriented.      The conversation then turns to the Global Honors Program, which Gorbman directed, and she recognizes the work of her successor, Divya McMillin. She praises her students in the early years, who were typically older, professional students, noting their diligence and insight. She then talks about starting the Tacoma Film Society with UW Tacoma professor Anthony D'Costa, his wife Janette Rawlings, and Beckie Etheridge at the University's Media Services. The interview concludes with Gorbman's comments on how much the University's trajectory has deviated from the original vision as a result of rapid expansion and general attitudes toward the humanities and interdisciplinary studies.","Claudia Gorbman (b. 1948) is professor emerita of film studies at the University of Washington Tacoma. She retired in 2015 after teaching for 24 years at UW Tacoma. Gorbman received her bachelor's, master's, and doctorate degrees all from University of Washington. After earning her PhD in Romance Languages and Literature in 1978, she became a tenured professor of comparative literature at Indiana University Bloomington and taught there for a total of 15 years. Intrigued by the opportunity to return to the Pacific Northwest and to build a university from the ground up, she joined the founding faculty of UW Tacoma in 1990. At UW Tacoma, she has directed the Global Honors Program and co-founded the Tacoma Film Society, which held monthly film screenings. She is the 2009 recipient of UW Tacoma's Distinguished Research Award. Her book, Unheard Melodies: Narrative Film Music (1987), is a seminal title in the literature on film and media music.     Gorbman and her partner, Pam Keeley, were one of the first same-sex couples to wed in Seattle when Washington state legalized gay marriage in December 2012. She is the daughter of UW professor and renowned zoologist Aubrey Gorbman.","Gorbman, Claudia--Interviews; Film teachers--Washington (State)--Tacoma; University of Tacoma--History",,Global Honors; interdisciplinary; interdisciplinary education; Judy Stevens-Long; Deborah Stansbury Sunday; Debra Friedman; Pat Spakes; nontraditional students; the whole U; tri-campus; Tacoma Film Society; Tacoma Film Festival; film studies; comparative literature; gender; Jack Keating; Indiana University Bloomington; Nathan Hale High School; water rights; Puyallup Tribe; Puget Sound Energy; LNG,United States--Washington (State)--Tacoma; United States--Washington (State)--Seattle; United States--Indiana--Bloomington,Oral histories,The oral history interview with Claudia Gorbman was part of the &quot;Founding Stories&quot; phase of the UW Tacoma Oral History Project.,English,eng,University of Washington Tacoma Oral History: Founding Stories,UWTOH201803,"To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH201803",University of Washington Tacoma Library,University of Washington Tacoma Oral History: Founding Stories,http://rightsstatements.org/vocab/InC-EDU/1.0/,"Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu",Sound; Text; StillImage,update URL for Restrictions,,,cpd,,,,1142816917,7/24/2018,3/3/2020,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/3,0;1;2,3,4.cpd,/p16786coll18/image/4.cpd,foundingstories3
"Suzanne Klinger, photograph",,,,,,,,,,,,,,Oral histories,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201703-Image,,,,,,,StillImage,,,,image/jpg,image/jpg,,,,10/7/2019,10/7/2019,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/4,,4,5.jp2,/p16786coll18/image/5.jp2,foundingstories4
"Suzanne Klinger, audio",,,,,,,,,,,,,,Oral histories,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201703-Audio,,,,,,,Sound,,,1:27:52,audio/mp3,audio/wav,,Converted from digital 24bit/96kHz wav fiiles to 16bit/24kHz mp3 fiiles in 2018.,,10/7/2019,10/7/2019,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/5,,5,6.mp3,/p16786coll18/image/6.mp3,foundingstories5
"Suzanne Klinger, transcript",,,,,,,,,,,,,,Oral histories,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201703-Transcript,,,,,,,Text,,,24 pages,application/pdf,text/docs,,,,10/7/2019,10/7/2019,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/6,,6,7.pdf,/p16786coll18/image/7.pdf,foundingstories6
Suzanne Klinger interview,"Klinger, Suzanne","Wadland, Justin",12/14/2017,14-Dec-17,2017,Staff,Library,"In the interview, Klinger describes how she came to work at UW Tacoma Library. She relates that the recruitment of staff was concurrent with the faculty curriculum planning conference in spring 1990. She recounts how, in the early days, the library worked closely with its Seattle counterpart, borrowed from its established systems, and designed new procedures to circulate materials across the campuses.      The conversation then turns to interdepartmental relationships. Klinger notes that the library operated somewhat independently from the campus administration and how that resulted in feelings of animosity, as well as challenges faced by the founding librarian, Deborah Stansbury Sunday, who happens to be African-American. The interview then shifts from the lack of diversity in the initial faculty to transformations at the library and of Klinger's position. To Klinger, the establishment of UW Tacoma's physical presence aided a sense of rootedness and connection to the local community. She remarks that the early student body did not reflect the diversity of the local population and on the difficulty to amend that. She then ponders how the institution might help the homeless population or alleviate the impact on gentrification its development has caused.     In the final portion of the interview, Klinger shares her perspective on mentorship, naming a few past student employees at UW Tacoma Library, including Brian Bannon, who is now the Commissioner of the Chicago Public Library system. She reflects on how technology has transformed the practice and meaning of her work. While regretting the University's regression toward less interdisciplinary and more traditional degree offerings, she expresses hopes in an increased commitment to social justice and fairness on both the school's and the library's part.","Suzanne Klinger was born in 1957 in Chambersburg, Pennsylvania. She received a liberal arts college education at Gettysburg College and majored in Ancient Greek. She began her early career as a teaching assistant at a private school established for at-risk youth, primarily serving students who came from inner-city Philadelphia. It was there that she discovered a possible professional path in librarianship, and she went on to complete her MA in librarianship at University of Chicago in 1984. In Chicago, she witnessed issues inherent in and associated with the urban environment and developed her concern for social justice. She also met her partner, who is from Seattle.      By the time she relocated to Tacoma in 1989, she had already worked at libraries at the University of Illinois at Chicago, University of New Mexico, Albuquerque, and Duke University. In Tacoma, after a brief period working in the Pierce County Library System, Klinger joined founding librarian Deborah Stansbury Sunday to become the second employee at the University of Washington Tacoma Library. She has been here for 28 years, and she is now the Head of Reference and Research Services, overseeing the reference desk. Her subject specialty areas include Communication, History, Sociology, and Urban Studies.","Klinger, Suzanne--Interviews; Academic librarians--Washington (State)--Tacoma; University of Tacoma. Library--History; University of Washington Tacoma--History",,"librarianship, social justice; Brian Bannon; Deborah Stansbury Sunday; diversity; Bothell",United States--Illinois--Chicago; United States--Washington (State)--Tacoma,Oral histories,The oral history interview with Suzanne Klinger was part of the &quot;Founding Stories&quot; phase of the UW Tacoma Oral History Project.,English,eng,University of Washington Tacoma Oral History: Founding Stories,UWTOH201703,"To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH201703",University of Washington Tacoma Library,University of Washington Tacoma Oral History: Founding Stories,http://rightsstatements.org/vocab/InC-EDU/1.0/,"Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu",Sound; Text; StillImage,update URL for Restrictions,,,cpd,,,,1142817196,10/7/2019,3/3/2020,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/7,4;5;6,7,8.cpd,/p16786coll18/image/8.cpd,foundingstories7
"Michael Sullivan, photograph",,,,,,,,,,,,,,Oral histories,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201701-Image,,,,,,,StillImage,,,,image/jpg,image/jpg,,,,7/24/2018,7/24/2018,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/8,,8,9.jp2,/p16786coll18/image/9.jp2,foundingstories8
"Michael Sullivan, audio",,,,,,,,,,,,,,Oral histories,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201701-Audio,,,,,,,Sound,,,1:00:31,audio/mp3,audio/wav,,Converted from digital 24bit/96kHz stereo wav fiiles to 16bit/24kHz mp3 fiiles in 2018.,,7/24/2018,7/24/2018,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/9,,9,10.mp3,/p16786coll18/image/10.mp3,foundingstories9
