timestamp,speaker,words,tags
00:00:00,Joan Hua,"This is Joan Hua with the UW Tacoma Oral History project. And today I'm interviewing Greg Tanbara. It's January 9, 2020, and we are in the Snoqualmie library building. So Greg, can you first introduce yourself and state your name?",
00:00:21,Greg Tanbara,"Yes. I'm Greg or Gregory Tanbara. I currently work for the Tacoma-Pierce County Health Department here in Tacoma. I have lived in Tacoma most of my life. I was actually born in Seattle in 1953. And my parents moved here in about 1955. So, I've lived here a long time, worked most of my life in the Tacoma-Pierce County area, primarily in human services.",
00:01:02,Joan Hua,Okay. And do you have any relationship with UW Tacoma today?,
00:01:08,Greg Tanbara,"Actually, I have been serving on Ali Modarres's Urban Studies advisory board. And I have had the opportunity to do some things with Joe Lawless when he was on faculty working on a leadership program. And I had a chance to work with your development department on a very interesting art installation called Maru on the north end of the campus that is a memorial for the Tacoma Japanese Language School. So those are the things that I've been involved in with regard to the University of Washington.",
00:01:57,Joan Hua,"And then, can you talk a bit more about your family background and the community you lived in growing up?",family
00:02:05,Greg Tanbara,"Okay. My mother grew up in Tacoma, lived at her family home at 1710 Fawcett Avenue. It's across the street from the Japanese Language School. Her father, Masataka Fujimoto, immigrated here, I am guessing, probably in the early 1900s, probably around 1916. My grandmother, Mitsu Fujimoto, came to join him and was married here, somewhere around probably 1920. Somewhere around there. Maybe ... no, it would've been sooner than that because her eldest daughter was born in 1919. So they had three daughters: Yoshiko, Tadaye, and Kimiko. And they lived at that house across the street from Tacoma Buddhist Temple, that happened to be half a block from the Japanese Language School. And both of those buildings are within the footprint of the University of Washington. So they lived there until they were interned during World War II at Heart Mountain. It was during that time that my mother met my father, George Tanbara. And my father was a California boy. And so they met there. I think they went on a date, is what she told me. And then he left to serve some time in the U.S. Army. He was in the Central Intelligence Agency and assigned to Nagasaki at the time. He returned and on the GI Bill, and--because he had had some training as a pharmacist--ended up going to medical school. And he finished medical school, and the agreement was that he could propose to my mother once he was done with medical school, and if he promised he was going to live in Tacoma. So through a series of circumstances, he was fortunate enough to be able to get here, worked as a physician for, I think, public health for just a short period of time, started his private practice up on the Hilltop of Tacoma. And during those early days, that after he got done with his residency in Seattle, they came to Tacoma, did not have a place to live. Didn't have any money. And as it turns out, they were able to stay at the Japanese Language School at about 17th and Tacoma Avenue, not too far from downtown. So they stayed there for two years. I was two years old when we moved there.",family;internment
,,"So I spent a couple years actually as a downtown urban dweller there. Things were very different in those days. But it was a half a block to the church. It was even a shorter distance, just across the alley, to where my grandmother was living with her daughter Tadaye, and Tadaye's husband, Leo Kawasaki. And so, growing up, we would see our cousins, at least twice a week. Go to church every Sunday. And I started school at Central School, what they called Central School, which is the Central Administration Building for Tacoma Public Schools now. So I was there during kindergarten.",family;buddhistTemple
,,"And I remember in that kindergarten class, I think there was one other Asian person, one other Japanese person in that class with me. And there were some African American kids. And it was the first time I really had interaction with Caucasians and African Americans. I knew the girl who was from the Japanese community, from church, of course. So that was kind of interesting to me. And the last couple weeks of my kindergarten career at Central School, my parents ended up moving to their home that they built on North Yakima Avenue. And, so then I ended up shifting to Lowell Elementary School. And I was the only minority person at that time at Lowell Elementary, that I remember. Everybody else was white. So that was a change for me also.",family;ethnicity
,,"So that was kind of the early days of growing up. My father had a medical practice. He was in pediatrics. Started as a, what they called a solo practitioner. He was on his own and had an office up in, on the Hilltop. In the early days, what I understand is, they would have the phone for the office ring down at the Japanese Language School, and my mother would answer that phone like she was working at an office. Then my dad would go, ""Oh good, a patient is coming in."" So he'd run up to the office and see the patient, and then he'd come back down and wait for the next one. So it's pretty low tech in those days. Eventually in, I think it was, 1956, after my second sister was born, my mother said, ""I've had enough of this. You better go hire somebody."" And so, my father ended up establishing that office up on the Hilltop and saw a lot of patients there. Practiced for about 53 years. My mother and father moved into the house in 1958. That's the only house that my father ever built. It's also the only house that he ever owned. And they stayed there for almost 60 years before they passed away.",family
00:09:11,Joan Hua,"I want to hear more about the building of the Japanese Language School. And also, it was interesting to me that you said before kindergarten, you hadn't interacted with anybody who was white, which, to me, meant most of your community was Japanese American in addition to your own family. Is that true?",family;jls
